연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2000,타이베이 영화제,일반(종합),물안경,이수연,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),자반고등어,김용화,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),오! 수정,홍상수,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),섬,김기덕,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),가위,이기철,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),해부학 시간,정소연,Focus on Korean CInema,,
2000,타이베이 영화제,일반(종합),반칙왕,김지운,Focus on Korean CInema,,
2000,황금사자 국제학생 영화제,일반(종합),,,파노라마,,
2000,타이베이 영화제,일반(종합),해피엔드,정지우,Focus on Korean CInema,,
2000,파리국제레즈비언페미니스트영화제,퀴어,여고괴담 두번째 이야기,"김태용,민규동",.,,
2000,도쿄 필맥스,일반(종합),죽거나 혹은 나쁘거나,류승완,아시아경쟁부문,,
2000,서울독립영화제,독립,진공의 시간,정사람,본선경쟁,우수작품상,정사람
2000,서울독립영화제,독립,물안경,이수연,본선경쟁,우수작품상,이수연
2000,서울독립영화제,독립,구타 유발자 잠들다,유정현,본선경쟁,최우수작품상,유정현
2000,서울독립영화제,독립,언년이,유진희,본선경쟁,우수작품상,유진희
2000,서울독립영화제,독립,팬지와 담쟁이,계운경,본선경쟁,우수작품상,계운경
2000,서울독립영화제,독립,인간의 시간,태준식,본선경쟁,우수작품상,태준식
2000,서울독립영화제,독립,존재,이명하,본선경쟁,최우수작품상,이명하
2000,서울독립영화제,독립,데모크라시 예더봉,"김이찬,박두병",본선경쟁,최우수작품상,박두병
2000,서울독립영화제,독립,대학로에서 매춘하다가 토막살해당한 여고생 아직 대학로에 있다,남기웅,본선경쟁,우수작품상,남기웅
2000,아시아 태평양 영화제,일반(종합),춘향뎐(春香傳),임권택,초청출품,심사위원 특별상,임권택
2000,탈린 블랙나이츠 영화제,일반(종합),박하사탕,이창동,.,,
2000,아시아 태평양 영화제,일반(종합),오! 수정,홍상수,초청출품,각본상,홍상수
2000,아시아 태평양 영화제,일반(종합),해피엔드,정지우,초청출품,남우주연상,최민식
2000,아 · 테 영화제,일반(종합),춘향뎐(春香傳),임권택,.,,
2000,아 · 테 영화제,일반(종합),해피엔드,정지우,.,,
2000,아 · 테 영화제,일반(종합),오! 수정,홍상수,.,,
2000,아시아 태평양 영화제,일반(종합),아나키스트,유영식,초청출품,,
2000,아 · 테 영화제,일반(종합),아나키스트,유영식,.,,
2000,브라티슬라바 국제영화제,일반(종합),박하사탕,이창동,,최우수감독상,이창동
2000,브라티슬라바 국제영화제,일반(종합),박하사탕,이창동,,최우수남우주연상,설경구
2000,브라티슬라바 국제영화제,일반(종합),오! 수정,홍상수,,,
2000,베르조베르트 퀴어영화제,일반(종합),여고괴담 두번째 이야기,"김태용,민규동",.,,
2000,누아르 인 페스티벌,호러/스릴러,여고괴담 두번째 이야기,"김태용,민규동",초청 출품,,
2000,청룡영화상,일반(종합),공동경비구역 JSA,박찬욱,,한국영화 최다관객상,
2000,청룡영화상,일반(종합),공동경비구역 JSA,박찬욱,,촬영상,김성복
2000,청룡영화상,일반(종합),공동경비구역 JSA,박찬욱,,감독상,박찬욱
2000,청룡영화상,일반(종합),공동경비구역 JSA,박찬욱,,최우수 작품상,박찬욱
2000,청룡영화상,일반(종합),공동경비구역 JSA,박찬욱,,남우조연상,신하균
2000,청룡영화상,일반(종합),플란다스의 개,봉준호,,신인여우상,배두나
2000,청룡영화상,일반(종합),청춘,곽지균,,신인남우상,김래원
2000,청룡영화상,일반(종합),물고기자리,김형태,,여우주연상,이미연
2000,청룡영화상,일반(종합),동감,김정권,,여우조연상,하지원
2000,청룡영화상,일반(종합),박하사탕,이창동,,남우주연상,설경구
2000,히혼 국제영화제,일반(종합),박하사탕,이창동,,,
2000,히혼 국제영화제,일반(종합),주유소 습격사건,김상진,,,
2000,청룡영화상,일반(종합),죽거나 혹은 나쁘거나,류승완,,신인감독상,류승완
2000,청룡영화상,일반(종합),리베라메,양윤호,,기술상,정도안
2000,청룡영화상,일반(종합),박하사탕,이창동,,각본상,이창동
2000,뭄바이 영화제,일반(종합),내 마음의 풍금,이영재,초청출품,,
2000,뭄바이 영화제,일반(종합),섬,김기덕,초청출품,,
2000,오슬로 국제영화제,일반(종합),여고괴담 두번째 이야기,"김태용,민규동",.,,
2000,토리노 영화제,일반(종합),플란다스의 개,봉준호,.,,
2000,토리노 영화제,일반(종합),정,배창호,.,,
2000,토리노 영화제,일반(종합),인터뷰,변혁,.,,
2000,토리노 영화제,일반(종합),새는 폐곡선을 그린다,전수일,,,
2000,오슬로 국제영화제,일반(종합),섬,김기덕,.,,
2000,류블랴나 국제영화제,일반(종합),박하사탕,이창동,,,
2000,류블랴나 국제영화제,일반(종합),처녀들의 저녁식사,임상수,,,
2000,카이로 국제영화제,일반(종합),행복한 장의사,장문일,경쟁부문,신인 감독상,장문일
2000,스톡홀름 국제영화제,일반(종합),섬,김기덕,.,,
2000,테살로니키 국제영화제,일반(종합),세기말,송능한,경쟁부문,,
2000,스톡홀름 국제영화제,일반(종합),새는 폐곡선을 그린다,전수일,초청 출품,,
2000,스톡홀름 국제영화제,일반(종합),여고괴담 두번째 이야기,"김태용,민규동",.,,
2000,스톡홀름 국제영화제,일반(종합),텔미썸딩,장윤현,.,,
2000,테살로니키 국제영화제,일반(종합),섬,김기덕,나이트타임즈,,
2000,만하임-하이델베르크 국제영화제,일반(종합),8월의 크리스마스,허진호,초청 출품,,
